City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.0833,28.07,76,25,3.46,MV,1690068974
1,mehendiganj,22.8167,90.5333,28.03,87,89,3.67,BD,1690068974
2,cabo san lucas,22.8909,-109.9124,37.01,55,0,3.6,MX,1690068939
3,codrington,-38.2667,141.9667,10.73,64,75,3.54,AU,1690068976
4,port-aux-francais,-49.35,70.2167,3.67,73,75,11.88,TF,1690068977
5,sweetwater,25.7634,-80.3731,34.0,62,75,4.12,US,1690068720
6,hermanus,-34.4187,19.2345,9.89,83,100,3.54,ZA,1690068977
7,west island,-12.1568,96.8225,24.99,83,75,5.66,CC,1690068978
8,iqaluit,63.7506,-68.5145,7.85,81,75,1.03,CA,1690068978
9,waitangi,-43.9535,-176.5597,11.57,96,100,2.68,NZ,1690068979
10,port elizabeth,-33.918,25.5701,11.16,82,0,3.09,ZA,1690068980
11,pyoksong-up,38.0475,125.5567,25.96,91,99,3.63,KP,1690068981
12,vadso,70.0744,29.7487,8.49,93,75,5.66,NO,1690068981
13,puerto natales,-51.7236,-72.4875,-6.41,96,23,1.28,CL,1690068693
14,hadibu,12.65,54.0333,25.14,81,100,12.0,YE,1690068982
15,ust-nera,64.5667,143.2,15.84,66,69,1.79,RU,1690068983
16,kavieng,-2.5744,150.7967,28.32,79,97,4.57,PG,1690068706
17,adamstown,-25.066,-130.1015,20.63,67,30,6.66,PN,1690068984
18,yellowknife,62.456,-114.3525,21.98,37,100,4.47,CA,1690068947
19,gevrai,19.2667,75.75,23.82,86,100,5.65,IN,1690068985
20,margate,51.3813,1.3862,15.49,87,100,7.15,GB,1690068986
21,polyarnyy,69.1989,33.4478,9.4,77,100,6.57,RU,1690068986
22,la ronge,55.1001,-105.2842,21.14,52,40,3.09,CA,1690068987
23,lerwick,60.1545,-1.1494,13.0,85,14,6.07,GB,1690068987
24,mosjoen,65.836,13.1908,13.29,82,100,0.0,NO,1690068988
25,kirensk,57.7853,108.1119,21.54,61,13,0.35,RU,1690068989
26,bilibino,68.0546,166.4372,24.78,45,74,4.35,RU,1690068698
27,bredasdorp,-34.5322,20.0403,10.77,92,100,2.51,ZA,1690068990
28,port mathurin,-19.6833,63.4167,22.81,70,5,9.73,MU,1690068990
29,puerto deseado,-47.7503,-65.8938,2.27,70,89,6.05,AR,1690068991
30,grytviken,-54.2811,-36.5092,-6.86,68,39,4.24,GS,1690068992
31,puerto ayora,-0.7393,-90.3518,24.65,78,51,5.51,EC,1690068992
32,margaret river,-33.95,115.0667,11.69,85,16,3.97,AU,1690068993
33,zelenogradsk,54.9589,20.4767,12.03,94,20,3.0,RU,1690068993
34,el charco,2.4769,-78.1105,25.43,92,38,1.26,CO,1690068994
35,mar del plata,-38.0023,-57.5575,11.72,91,100,4.92,AR,1690068988
36,mugia,43.1041,-9.2179,16.06,77,97,2.35,ES,1690068995
37,anadyr,64.75,177.4833,15.28,77,75,5.0,RU,1690068996
38,bako,5.7833,36.5667,17.64,73,78,2.2,ET,1690068997
39,port shepstone,-30.7414,30.455,17.42,45,9,3.49,ZA,1690068997
40,college,64.8569,-147.8028,28.97,33,75,2.24,US,1690068998
41,malvan,16.0667,73.4667,26.5,88,100,10.21,IN,1690068998
42,edinburgh of the seven seas,-37.0676,-12.3116,12.59,68,48,6.72,SH,1690068999
43,arraial do cabo,-22.9661,-42.0278,18.98,94,75,3.09,BR,1690068999
44,blackmans bay,-43.0167,147.3167,9.74,87,56,1.47,AU,1690069000
45,weno,7.4515,151.8468,29.97,79,100,1.54,FM,1690068702
46,maiduguri,11.8464,13.1603,28.66,60,77,2.18,NG,1690069001
47,sittwe,20.15,92.9,27.5,87,68,4.25,MM,1690069002
48,saint-paul,-21.0096,55.2707,21.05,87,73,0.89,RE,1690069002
49,maraba,-5.3686,-49.1178,24.1,69,0,0.0,BR,1690069003
50,ilulissat,69.2167,-51.1,8.01,93,75,1.54,GL,1690069004
51,hoemul-li,41.4339,129.67,20.25,97,100,1.32,KP,1690069004
52,suntar,62.1444,117.6319,23.4,58,82,1.76,RU,1690069005
53,badger,64.8,-147.5333,28.93,30,0,1.34,US,1690069005
54,sen monorom,12.45,107.2,21.07,95,92,1.94,KH,1690069006
55,nea kallikrateia,40.3167,23.0667,30.36,60,0,2.66,GR,1690069007
56,rahimah,26.7079,50.0619,32.12,42,9,6.07,SA,1690069007
57,aasiaat,68.7098,-52.8699,3.71,98,100,3.73,GL,1690069008
58,morondava,-20.2833,44.2833,19.91,80,0,1.62,MG,1690069009
59,kapuskasing,49.4169,-82.4331,24.05,43,40,2.57,CA,1690068714
60,adam,22.3756,57.5233,31.75,47,100,2.66,OM,1690069010
61,okhotsk,59.3833,143.3,17.69,77,80,2.17,RU,1690069011
62,as salamiyah,35.0113,37.0532,25.07,50,0,3.56,SY,1690069011
63,mont-laurier,46.5501,-75.4993,23.79,73,27,1.52,CA,1690069012
64,enewetak,11.3474,162.3373,28.59,76,86,7.5,MH,1690069012
65,klaksvik,62.2266,-6.589,11.51,89,36,5.98,FO,1690069013
66,kabalo,-6.05,26.9167,24.17,34,5,1.36,CD,1690069014
67,hailin,44.5833,129.4167,18.91,96,100,1.66,CN,1690069014
68,brookings,44.3114,-96.7984,28.39,54,15,2.58,US,1690068804
69,bodo,67.28,14.405,13.21,97,75,2.06,NO,1690069015
70,khash,28.2211,61.2158,25.93,31,100,1.7,IR,1690069016
71,tapolca,46.8815,17.4412,18.69,87,77,1.2,HU,1690069017
72,fortuna,40.5982,-124.1573,19.81,70,20,6.69,US,1690069018
73,ungsang-nodongjagu,42.3578,130.4622,20.27,99,99,2.52,KP,1690069019
74,kodiak,57.79,-152.4072,11.73,82,20,3.09,US,1690069019
75,guerrero negro,27.9769,-114.0611,23.54,62,13,6.96,MX,1690069020
76,lewistown,40.5992,-77.5714,27.41,50,0,2.06,US,1690069020
77,tiksi,71.6872,128.8694,8.68,65,30,4.47,RU,1690069021
78,saipan,15.1355,145.701,29.8,100,75,4.12,MP,1690069022
79,howrah,22.5892,88.3103,27.0,100,75,2.06,IN,1690069022
80,utrik,11.2278,169.8474,28.23,74,37,7.87,MH,1690069023
81,san patricio,28.017,-97.5169,37.4,45,5,7.17,US,1690069024
82,bethel,41.3712,-73.414,27.47,62,0,1.54,US,1690068734
83,dudinka,69.4058,86.1778,15.57,91,62,5.06,RU,1690069025
84,selkirk,50.1436,-96.8845,27.04,57,51,5.48,CA,1690068974
85,ushuaia,-54.8,-68.3,-1.19,80,40,5.14,AR,1690069026
86,tocopilla,-22.092,-70.1979,17.94,78,49,7.19,CL,1690068731
87,papatowai,-46.5619,169.4708,8.95,93,100,3.66,NZ,1690069027
88,tazovsky,67.4667,78.7,14.46,94,73,2.4,RU,1690069028
89,medicine hat,50.0501,-110.6683,35.24,18,20,5.66,CA,1690069029
90,thompson,55.7435,-97.8558,17.09,48,75,5.14,CA,1690069029
91,yanaul,56.2719,54.9309,10.75,92,27,3.1,RU,1690069030
92,bechar,31.6167,-2.2167,34.18,10,0,2.57,DZ,1690069030
93,shalqar,47.8333,59.6,26.15,35,44,2.42,KZ,1690069031
94,taltal,-25.4,-70.4833,17.89,71,49,1.96,CL,1690069032
95,tomatlan,19.9333,-105.25,29.1,72,46,0.85,MX,1690069034
96,bikenibeu village,1.3673,173.1241,28.98,84,40,1.54,KI,1690069034
97,adre,13.4667,22.2,23.97,67,95,5.35,TD,1690069035
98,roma,43.2128,-75.4557,26.01,52,0,4.12,US,1690068773
99,wailua homesteads,22.0669,-159.378,28.44,79,40,6.17,US,1690069036
100,ribeira grande,38.5167,-28.7,20.43,84,19,2.68,PT,1690069037
101,isafjordur,66.0755,-23.124,10.83,84,100,0.57,IS,1690069037
102,avarua,-21.2078,-159.775,23.03,94,100,6.69,CK,1690069038
103,bardai,11.65,7.2333,22.65,86,98,1.81,NG,1690069039
104,udachny,66.4167,112.4,23.03,46,5,7.59,RU,1690069039
105,palmer,42.1584,-72.3287,26.78,59,20,2.06,US,1690069040
106,afaahiti,-17.75,-149.2833,26.93,65,65,3.71,PF,1690069040
107,quellon,-43.1167,-73.6167,3.14,93,0,1.54,CL,1690069041
108,lianjiang,21.6467,110.2817,26.94,83,13,1.62,CN,1690069042
109,port macquarie,-31.4333,152.9167,16.61,68,98,3.89,AU,1690069042
110,talcahuano,-36.7167,-73.1167,11.82,82,20,1.54,CL,1690069043
111,punta arenas,-53.15,-70.9167,-0.91,80,31,4.71,CL,1690069042
112,invercargill,-46.4,168.35,7.87,92,100,2.11,NZ,1690069044
113,dunedin,-45.8742,170.5036,11.71,93,100,1.34,NZ,1690069045
114,crane,31.3974,-102.3501,35.52,25,100,5.16,US,1690069045
115,touros,-5.1989,-35.4608,24.51,82,6,6.01,BR,1690069046
116,castillos,-34.1667,-53.8333,22.01,70,100,6.17,UY,1690069047
117,preobrazheniye,42.9019,133.9064,20.75,85,99,2.22,RU,1690069047
118,albany,42.6001,-73.9662,26.23,65,3,3.04,US,1690069048
119,sitka,57.0531,-135.33,16.94,77,100,0.0,US,1690069048
120,lebu,-37.6167,-73.65,9.49,88,36,1.08,CL,1690069049
121,kuala belait,4.5833,114.1833,25.09,89,100,2.55,BN,1690069050
122,boyolangu,-8.1181,111.8935,22.62,82,80,1.82,ID,1690069051
123,malinyi,-8.9333,36.1333,22.13,53,61,0.57,TZ,1690069052
124,poronaysk,49.2167,143.1167,20.95,79,100,2.11,RU,1690069052
125,hinton,53.4001,-117.5857,24.22,50,80,2.72,CA,1690069054
126,morehead city,34.7229,-76.726,27.22,81,100,0.0,US,1690068953
127,junin de los andes,-39.9504,-71.0694,3.19,85,54,4.86,AR,1690069055
128,whitehorse,60.7161,-135.0538,23.43,56,75,3.6,CA,1690068999
129,qamdo,31.1667,97.2333,7.47,78,100,1.33,CN,1690069056
130,severo-vostotchnyi bank,39.4112,49.2479,25.56,73,92,1.17,AZ,1690069056
131,inarajan village,13.2736,144.7484,29.66,92,100,4.76,GU,1690069057
132,hotan,37.0997,79.9269,29.62,22,100,1.54,CN,1690069058
133,lihue,21.9789,-159.3672,28.77,78,40,6.17,US,1690069058
134,alice springs,-23.7,133.8833,9.75,71,2,8.23,AU,1690069059
135,aginskoye,51.1,114.53,19.93,46,2,4.02,RU,1690069059
136,vilyuchinsk,52.9306,158.4028,20.15,59,100,2.86,RU,1690069060
137,villeneuve-sur-lot,44.5,0.6667,17.03,80,14,2.17,FR,1690069061
138,abyek,36.0667,50.55,20.78,55,62,0.97,IR,1690069061
139,lompoc,34.6391,-120.4579,36.12,69,0,4.63,US,1690069062
140,prince rupert,54.3161,-130.3201,14.83,96,100,6.69,CA,1690069014
141,dogubayazit,39.5469,44.0842,18.35,63,9,0.56,TR,1690069063
142,al kharj,24.155,47.3346,33.32,11,42,2.1,SA,1690069064
143,nelson bay,-32.7167,152.15,10.61,89,83,4.47,AU,1690069064
144,murun-kuren,49.6342,100.1625,15.21,84,93,0.35,MN,1690069065
145,taitung city,22.7583,121.1444,28.15,78,75,1.54,TW,1690069066
146,puerto san jose,13.9256,-90.8244,29.89,71,99,1.57,GT,1690069066
147,praia da vitoria,38.7333,-27.0667,22.14,88,40,1.97,PT,1690069067
148,ciudad lazaro cardenas,17.9583,-102.2,30.35,70,86,3.45,MX,1690069067
149,castel,49.791,2.4548,20.37,53,100,6.42,FR,1690069068
150,matoury,4.8483,-52.3317,24.98,94,0,0.0,GF,1690069069
151,east london,-33.0153,27.9116,16.33,75,10,4.11,ZA,1690069069
152,shitanjing,39.2342,106.3439,25.24,30,71,2.02,CN,1690069070
153,stanley,54.868,-1.6985,14.33,92,100,4.63,GB,1690069071
154,lesosibirsk,58.2358,92.4828,20.08,74,78,1.18,RU,1690069071
155,jamestown,42.097,-79.2353,23.9,50,0,2.57,US,1690069072
156,coquimbo,-29.9533,-71.3436,14.85,100,0,1.54,CL,1690068987
157,ha'il,27.5219,41.6907,29.01,15,0,0.0,SA,1690069073
158,talnakh,69.4865,88.3972,17.28,94,100,1.32,RU,1690069073
159,tolanaro,-25.0319,46.9987,18.04,94,40,7.2,MG,1690069074
160,holualoa,19.6228,-155.9522,27.91,81,40,5.14,US,1690069075
161,maues,-3.3836,-57.7186,25.87,51,44,1.13,BR,1690069075
162,katsuren-haebaru,26.3369,127.8719,30.01,88,75,2.57,JP,1690069076
163,upper dir,35.2058,71.8756,21.19,89,55,0.74,PK,1690069076
164,kavaratti,10.5669,72.642,28.01,80,100,9.92,IN,1690069077
165,walvis bay,-22.9575,14.5053,12.83,87,6,4.12,NA,1690069077
166,kurumkan,54.3,110.3,20.72,50,7,1.8,RU,1690069078
167,longyearbyen,78.2186,15.6401,8.91,71,40,3.09,SJ,1690069079
168,alaghsas,17.0187,8.0168,32.76,34,27,2.14,NE,1690069079
169,pyapon,16.2833,95.6833,25.65,91,100,1.51,MM,1690069080
170,smithers,54.7804,-127.1743,18.18,72,100,3.6,CA,1690069080
171,kavalerovo,44.2661,135.0572,24.69,68,100,1.25,RU,1690069081
172,yuzhno-kurilsk,44.0306,145.8556,17.55,83,100,4.94,RU,1690069081
173,klyuchi,52.2667,79.1667,18.91,53,38,3.41,RU,1690069083
174,northam,51.0333,-4.2167,17.59,98,100,8.66,GB,1690069083
175,rudnyy,52.9594,63.1206,17.13,94,81,2.45,KZ,1690069084
176,chokwe,-24.5333,32.9833,16.12,75,0,2.79,MZ,1690069084
177,iacu,-12.7672,-40.2117,19.09,89,54,1.27,BR,1690069085
178,lata,40.1629,-8.3327,17.67,97,4,0.99,PT,1690069086
179,hawaiian paradise park,19.5933,-154.9731,27.8,83,40,6.69,US,1690069086
180,kongolo,-5.3833,27.0,24.33,36,11,1.55,CD,1690069087
181,andovoranto,-18.95,49.1,18.96,89,47,2.54,MG,1690069088
182,sinabang,2.4803,96.3801,26.18,81,98,0.97,ID,1690069088
183,namibe,-15.1961,12.1522,16.95,78,75,4.03,AO,1690069089
184,maturin,9.75,-63.1767,26.27,76,90,3.42,VE,1690068651
185,priargunsk,50.3691,119.1012,14.7,96,100,3.55,RU,1690069090
186,ambon,-3.6954,128.1814,28.26,95,40,2.06,ID,1690069091
187,fort bragg,35.139,-79.006,29.9,70,75,4.12,US,1690069090
188,richards bay,-28.783,32.0377,15.94,70,41,3.17,ZA,1690069091
189,hirara,24.8,125.2833,29.15,84,20,5.14,JP,1690069092
190,champerico,14.3,-91.9167,27.3,73,100,2.11,GT,1690069093
191,jiwani,25.05,61.7417,27.94,82,100,0.66,PK,1690069093
192,gourdon,44.75,1.5,15.41,72,13,1.19,FR,1690069094
193,labytnangi,66.6572,66.4183,16.72,96,97,3.15,RU,1690069094
194,nunchritz,51.2999,13.3856,17.33,78,89,3.92,DE,1690069095
195,peace river,56.2501,-117.286,30.17,32,20,2.57,CA,1690068808
196,kisangani,0.5167,25.2,22.47,90,66,1.52,CD,1690069097
197,nagqu,31.5,92.0,5.12,86,96,1.7,CN,1690069097
198,yinchuan,38.4681,106.2731,27.35,26,34,1.73,CN,1690069098
199,acarau,-2.8856,-40.12,25.71,82,7,6.79,BR,1690069099
200,sergeyevka,53.88,67.4158,16.17,89,100,1.67,KZ,1690069099
201,kangasala,61.4638,24.076,12.96,100,95,2.32,FI,1690069100
202,minas de marcona,-15.2119,-75.1103,12.37,86,51,6.39,PE,1690069100
203,zalingei,12.9096,23.4741,22.5,77,94,2.88,SD,1690069101
204,okha,53.5739,142.9478,21.97,55,66,5.03,RU,1690069101
205,magadan,59.5667,150.8,14.74,97,100,1.54,RU,1690068921
206,queenstown,-31.8976,26.8753,10.44,69,8,2.48,ZA,1690069103
207,laguna,38.421,-121.4238,43.52,23,0,3.6,US,1690069104
208,tobruk,32.0836,23.9764,26.65,88,0,6.79,LY,1690069104
209,susuman,62.7833,148.1667,11.86,88,100,2.05,RU,1690069105
210,sufalat sama'il,23.3167,58.0167,32.52,51,100,0.73,OM,1690069105
211,bada,51.392,109.8717,14.99,95,100,1.35,RU,1690069106
212,sainyabuli,19.25,101.75,23.51,95,93,0.08,LA,1690069107
213,inongo,-1.95,18.2667,22.49,75,86,2.6,CD,1690069107
214,esquina,-30.0144,-59.5272,25.41,45,100,3.35,AR,1690069108
215,guskhara,23.5,87.75,27.25,90,56,3.51,IN,1690069110
216,rongelap,11.1635,166.8941,28.61,74,46,8.06,MH,1690069110
217,ridgecrest,35.6225,-117.6709,45.94,5,0,3.6,US,1690069007
218,hilo,19.7297,-155.09,27.92,82,40,6.69,US,1690069094
219,nemuro,43.3236,145.575,16.9,87,91,5.2,JP,1690069112
220,uturoa,-16.7333,-151.4333,24.72,74,81,4.85,PF,1690069112
221,jambi city,-1.6,103.6167,23.6,93,42,1.21,ID,1690069113
222,olonkinbyen,70.9221,-8.7187,5.55,79,100,3.15,SJ,1690069114
223,vila franca do campo,37.7167,-25.4333,19.23,76,15,0.95,PT,1690069114
224,iskateley,67.6803,53.1512,10.88,97,100,4.27,RU,1690069115
225,byron bay,-28.65,153.6167,16.51,60,28,4.83,AU,1690069115
226,mount pearl,47.5166,-52.7813,20.19,94,75,5.14,CA,1690069116
227,soio,-6.1349,12.3689,21.04,89,19,3.96,AO,1690069117
228,happy valley-goose bay,53.3168,-60.3315,21.17,83,100,3.09,CA,1690069118
229,kulattur,9.0167,78.2,27.56,65,98,7.15,IN,1690069118
230,egilsstadir,65.2653,-14.3948,7.95,93,100,4.63,IS,1690069119
231,portland,45.5234,-122.6762,33.86,37,20,5.14,US,1690068386
232,rabigh,22.7986,39.0349,30.19,62,21,2.59,SA,1690069120
233,georgetown,5.4112,100.3354,26.96,95,20,0.51,MY,1690068961
234,covington,39.0837,-84.5086,28.02,56,0,3.09,US,1690068843
235,boca do acre,-8.7522,-67.3978,25.83,51,0,0.71,BR,1690069122
236,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,60,75,3.0,RU,1690069122
237,laukaa,58.7372,29.8453,12.79,90,74,3.34,RU,1690069123
238,ewo,-0.8725,14.8206,25.6,67,59,2.08,CG,1690069123
239,beyneu,45.3167,55.2,28.17,40,2,2.5,KZ,1690069124
240,dompu,-8.5356,118.4622,24.36,76,64,2.17,ID,1690069124
241,carnarvon,-24.8667,113.6333,14.58,44,0,7.64,AU,1690069125
242,igdir,39.9237,44.045,26.96,46,0,2.06,TR,1690069125
243,tura,25.5198,90.2201,24.09,97,100,1.68,IN,1690069126
244,chivhu,-19.0211,30.8922,8.66,94,0,2.21,ZW,1690069127
245,kourou,5.1552,-52.6478,25.03,86,13,3.57,GF,1690069127
246,manado,1.487,124.8455,24.43,94,20,0.51,ID,1690068989
247,mukalla,14.5425,49.1242,31.73,54,91,5.9,YE,1690069129
248,charters towers,-20.1,146.2667,20.42,37,13,1.5,AU,1690069129
249,hamilton,39.1834,-84.5333,27.35,56,0,3.09,US,1690069102
250,vila velha,-20.3297,-40.2925,19.97,98,75,1.54,BR,1690068899
251,port lincoln,-34.7333,135.8667,12.89,65,54,5.6,AU,1690069131
252,pamanukan,-6.2842,107.8106,23.63,75,55,2.59,ID,1690069132
253,qoryooley,1.7878,44.53,23.7,86,97,5.61,SO,1690069133
254,malmesbury,-33.4608,18.7271,10.42,73,95,1.16,ZA,1690069134
255,nagornyy,52.7959,83.5498,15.27,91,100,4.5,RU,1690069134
256,duba,27.3513,35.6901,31.2,49,98,0.11,SA,1690069135
257,colonel hill,22.7667,-74.2167,27.92,75,81,4.03,BS,1690069136
258,bac kan,22.1333,105.8333,26.9,89,89,0.83,VN,1690069136
259,misratah,32.3754,15.0925,29.16,62,0,2.69,LY,1690069137
260,vorgashor,67.5833,63.95,16.47,95,100,1.28,RU,1690069137
261,vuktyl,63.8567,57.3094,12.76,96,30,2.05,RU,1690069138
262,ciudad madero,22.2667,-97.8333,32.11,70,40,5.14,MX,1690069138
263,pacific grove,36.6177,-121.9166,29.1,84,0,4.12,US,1690069139
264,inhambane,-23.865,35.3833,17.59,83,0,2.04,MZ,1690069140
265,bayganin,48.6947,55.8742,23.09,47,99,2.81,KZ,1690069140
266,nova sintra,14.8667,-24.7167,23.0,76,20,7.74,CV,1690069141
